"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","genename","entrezid"
"ENSG00000188290",108.922127976716,2.0570638345841,0.196905313156012,10.4469696709212,1.51281888958418e-25,1.30679917429303e-24,"HES4","hes family bHLH transcription factor 4","57801"
"ENSG00000069812",3.15810817128513,2.95472164641184,1.29792491898597,2.27649658558084,0.0228163047331631,0.0419949800440479,"HES2","hes family bHLH transcription factor 2","54626"
"ENSG00000162490",12.974640930305,3.04770708207733,0.655648991392372,4.64838217108373,3.34548639275269e-06,1.02087499976573e-05,"DRAXIN","dorsal inhibitory axon guidance protein","374946"
"ENSG00000158825",13.8286362530918,-4.04436745726271,0.759755825654098,-5.3232463914058,1.01931528822056e-07,3.54776545468415e-07,"CDA","cytidine deaminase","978"
"ENSG00000020633",8.52787075188608,2.85925576500221,0.789746722313883,3.62047183510286,0.000294066261993964,0.000724558054351862,"RUNX3","RUNX family transcription factor 3","864"
"ENSG00000127423",20.8088303974424,-2.01706738833321,0.455301338389108,-4.43018110921825,9.41539814924802e-06,2.73885615721619e-05,"AUNIP","aurora kinase A and ninein interacting protein","79000"
"ENSG00000158008",82.7351085587211,-2.48788354917619,0.235884139074278,-10.5470573771506,5.24129482427999e-26,4.5865992786137e-25,"EXTL1","exostosin like glycosyltransferase 1","2134"
"ENSG00000162520",248.715147599884,-3.52266962027785,0.164601279632749,-21.4012286425565,1.30133341894865e-101,5.85361989730744e-100,"SYNC","syncoilin, intermediate filament protein","81493"
"ENSG00000092853",122.202137432252,-2.42411269643144,0.195217559026655,-12.4174931216124,2.1004037254906e-35,2.49511727583642e-34,"CLSPN","claspin","63967"
"ENSG00000134690",309.413921089907,-3.19981705199699,0.139249076696847,-22.979089900633,7.54517745746472e-117,4.16934637481028e-115,"CDCA8","cell division cycle associated 8","55143"
"ENSG00000163909",6.72067942828981,3.5978127579259,1.01124751259835,3.55779639811574,0.000373979003496269,0.000909308869081074,"HEYL","hes related family bHLH transcription factor with YRPW motif like","26508"
"ENSG00000117399",548.054729960495,-3.23340373494476,0.114651721630664,-28.2019640783134,5.53209165199244e-175,6.97610942166637e-173,"CDC20","cell division cycle 20","991"
"ENSG00000142945",300.535541619319,-2.95302462701454,0.138415331946842,-21.3345197058708,5.42992875112122e-101,2.43505072322317e-99,"KIF2C","kinesin family member 2C","11004"
"ENSG00000162415",21.4798159246607,2.82989198165189,0.486504418307475,5.81678577863065,5.99899410157877e-09,2.30073197230811e-08,"ZSWIM5","zinc finger SWIM-type containing 5","57643"
"ENSG00000085999",49.8295652262928,-2.88281485175918,0.320875977360061,-8.98420279223435,2.60616744034288e-19,1.74699656587091e-18,"RAD54L","RAD54 like","8438"
"ENSG00000123080",131.552292323887,-2.75714018901389,0.201695674945616,-13.6698032308195,1.53810538247801e-42,2.22047033396092e-41,"CDKN2C","cyclin dependent kinase inhibitor 2C","1031"
"ENSG00000085832",605.654170098824,-2.0867969772198,0.0858107005301566,-24.3186102004427,1.24600690019489e-130,8.83826240647855e-129,"EPS15","epidermal growth factor receptor pathway substrate 15","2060"
